"","cluster1","cluster2","cluster4","cluster5"
"CGGA_1441",0.691015335525754,0.286342171174485,0.451355114516676,0.228303372255743
"CGGA_1443",0.778215213143178,0.553322428318607,0.330116798216571,0.13858726888529
"CGGA_1444",0.429371767561585,-0.0876178118430227,-0.152442817393356,-0.343974925978966
"CGGA_1445",-0.677266843024182,-0.440036725576435,-0.644277601333387,-0.544572934079106
"CGGA_1446",-0.734536096456375,-0.645483193275972,-0.625762062291759,-0.527569100716868
"CGGA_1447",-0.684199472571568,-0.607935580718189,-0.526435677565261,-0.492634177040336
"CGGA_1451",0.652362054759432,-0.167256745276824,0.163569491035371,-0.14152845373988
"CGGA_1452",0.696029633129671,0.198581586145428,0.189092890646148,-0.2528332172969
"CGGA_1454",-0.703080363428654,-0.459014399884759,-0.331164824645845,-0.627375644718222
"CGGA_1455",-0.758574387768314,-0.630381429186147,-0.656872493988611,-0.469080545499919
"CGGA_1457",0.696927249719013,0.497533260691445,0.253646260926401,0.308706744421096
"CGGA_1458",-0.869464371081215,-0.227442690445364,-0.487512444451923,-0.482849058417358
"CGGA_1459",0.100550117470871,-0.158156161755897,-0.151789535200692,0.279051010402164
"CGGA_1461",0.398260679033123,0.233629929610393,0.132472547385011,0.287326388799608
"CGGA_1462",0.605813137364308,0.533340125272234,0.396822955525624,0.413991155884342
"CGGA_1463",-0.558588004741635,0.257283258270362,-0.00769454081072601,0.272413936512602
"CGGA_1467",-0.578358057409399,-0.596962960007813,-0.59525544091069,-0.447258622641287
"CGGA_1469",-0.711441745023509,-0.720270080191983,-0.621762622283648,-0.543914438695305
"CGGA_1471",0.323315711614543,0.546740641763519,0.451221385320802,0.518922848718029
"CGGA_1472",-0.691051839547974,-0.70789767942052,-0.681489765175324,-0.70380523041363
"CGGA_1473",-0.718316226464866,-0.696241052478077,-0.687687081257948,-0.691119593909747
"CGGA_1474",-0.467931366470934,-0.56763011694654,-0.500640898780067,-0.351188236248865
"CGGA_1476",0.063913286674591,-0.0730566035194926,-0.154156051393766,-0.172226554721535
"CGGA_1477",-0.154381358305869,-0.190765263526867,-0.0903047084555241,-0.0652494622112964
